,level_0,index,name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
23,41,899,HAT-P-4 b,Confirmed,0.68,0.04,0.04,,,,1.27,0.05,0.05,3.0565114,2.8e-06,2.8e-06,0.0446,0.0012,0.0012,0.0,,,89.67,0.3,0.3,0.000144,2007.0,2013-05-07,,,,,,,,,,2454502.56227,0.00021,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-4,229.9916667,36.2297222,11.2,,,,,310.0,30.0,30.0,0.2,0.08,0.08,1.26,0.14,0.14,1.59,0.07,0.07,F,4.2,-0.6,-0.6,5890.0,67.0,67.0,,,
24,42,907,HAT-P-57 b,Confirmed,1.85,1.85,1.85,1.85,1.85,1.85,1.413,0.054,0.054,2.465295,3.2e-06,3.2e-06,0.0406,0.0011,0.0011,0.0,,,88.26,0.85,0.85,,2015.0,2015-11-04,,,,,,,,,,2455113.48127,0.00048,0.00048,,,,,,,0.031,0.023,0.023,,,,215.2,215.2,215.2,2200.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-57,274.743437639305,10.59725823515657,10.47,,,,,303.0,13.0,13.0,-0.25,0.25,0.25,1.47,0.12,0.12,1.5,0.05,0.05,,1.0,0.51,0.51,7500.0,250.0,250.0,,,2MASS 18185842+103
25,43,924,HAT-P-8 Ab,Confirmed,1.35,0.03,0.03,,,,1.42,0.05,0.05,3.076318,5e-05,5e-05,0.0473,0.002,0.002,0.0,,,88.2,1.0,1.0,0.000195,2008.0,2024-08-02,,,,,,,,,,2459827.42998,0.00025,0.00025,,,,,,,,,,,,,153.0,3.8,3.8,1726.0,29.0,29.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-5960.01,,HAT-P-8 A,343.0416667,35.4472222,10.4,,9.2,9.0,9.0,211.553,1.6955,1.6955,0.048,0.08,0.08,1.285,0.197,0.197,1.431,0.0598,0.0598,F7IV-V,3.4,1.0,1.0,6401.79,103.038,103.038,,,"TOI-5960, BD+34 4779"
26,44,1013,HD 101930 Ab,Confirmed,0.3,,,0.3,,,,,,70.46,0.18,0.18,0.302,,,0.11,0.02,0.02,,,,0.009905,2005.0,2024-08-01,251.0,11.0,11.0,2453145.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 101930 A,175.875,-58.0066667,8.21,,,,,30.49,,,0.17,0.06,0.06,0.74,0.05,0.05,,,,K1V,5.39,,,5079.0,62.0,62.0,,,
27,45,1020,HD 102365 Ab,Confirmed,0.05,0.008,0.008,0.05,0.008,0.008,,,,122.1,0.3,0.3,0.46,0.04,0.04,0.34,0.14,0.14,,,,0.049784,2011.0,2024-08-01,105.0,22.0,22.0,2450129.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"HD 102365 b, HR 4523 Ab, GJ 442 Ab",,HD 102365 A,176.6291667,-40.5002778,4.89,,,,,9.24,0.06,0.06,-0.28,0.07,0.07,0.85,,,,,,G2V,9.0,3.0,3.0,5650.0,100.0,100.0,IR Excess,,"HR 4523 A, GJ 442 A, LDS 6248 A"
28,46,1042,HD 106515 Ab,Confirmed,9.61,0.14,0.14,9.61,0.14,0.14,,,,3630.0,14.2,14.2,4.59,0.01,0.01,0.572,0.011,0.011,,,,,2011.0,2024-08-01,123.8,2.5,2.5,2451844.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 106515 A,183.7791667,-7.2572222,7.35,,,,,35.2,1.0,1.0,0.01,,,0.91,0.03,0.03,,,,K0V,6.0,2.0,2.0,5232.0,,,,,"GJ 9398 A, HIP 59743 A, HIP 59743"
29,47,1044,HD 106906 (AB) b,Confirmed,11.0,2.0,2.0,,,,,,,,,,850.0,260.0,260.0,,,,56.0,21.0,21.0,,2013.0,2023-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,HD 106906 b,"C, CO, H2O, O",HD 106906 (AB),184.471630975,-55.9755251461,7.8,,,,,92.0,6.0,6.0,0.04,0.02,0.02,1.5,0.1,0.1,,,,F5V,0.013,0.002,0.002,6798.0,40.0,40.0,Imaging,,
30,48,1059,HD 109271 Ab,Confirmed,0.054,0.004,0.004,0.054,0.004,0.004,,,,7.8543,0.0009,0.0009,0.079,0.001,0.001,0.25,0.08,0.08,,,,,2013.0,2024-08-01,296.0,20.0,20.0,2455719.1,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 109271 A,188.4,-11.6219,8.05,,,,,62.0,3.0,3.0,0.1,0.05,0.05,1.047,0.024,0.024,,,,G5V,7.3,1.2,1.2,5783.0,62.0,62.0,,,
31,50,1062,HD 109749 Ab,Confirmed,0.28,0.016,0.016,0.28,0.016,0.016,0.99,,,5.23921,0.000935533,0.000935533,0.0635,,,0.0451,0.025,0.025,,,,0.001076,2005.0,2024-08-01,72.3,55.8,55.8,2453426.3,,,,,,,,,,,,,,,,,,3013.55,0.14,0.14,28.49,1.12,1.12,,,,,,,,,,Announced on a professional conference,Radial Velocity,Radial Velocity,Theoretical,,,HD 109749 A,189.3166667,-40.8119444,8.1,,,,,63.0821,0.2938,0.2938,0.22,0.012,0.012,1.2,0.1,0.1,1.3,0.072,0.072,G3IV-V,3.3,1.2,1.2,5868.57,138.1,138.1,,,
32,51,1090,HD 114729 Ab,Confirmed,0.84,,,0.84,,,,,,1135.0,9.0,9.0,2.08,,,0.32,0.18,0.18,,,,0.059429,2002.0,2024-08-01,73.0,30.0,30.0,2450520.0,67.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 114729 b,,HD 114729 A,198.1833333,-31.8733333,6.69,,,,,35.0,,,-0.22,,,0.93,,,1.46,,,G3V,4.58,,,5662.0,,,,,HD 114729
33,52,1101,HD 116029 Ab,Confirmed,2.1,0.2,0.2,2.1,0.2,0.2,,,,670.2,8.3,8.3,1.73,0.04,0.04,0.21,,,,,,0.014042,2011.0,2024-07-28,360.0,100.0,100.0,2455220.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 116029 b,,HD 116029 A,200.1666667,24.6486111,8.04,,,,,123.2,9.9,9.9,0.18,0.03,0.03,1.58,0.11,0.11,4.6,0.1,0.1,K1III,2.7,0.5,0.5,4951.0,44.0,44.0,,,HD 116029
34,54,1111,HD 11964 Ab,Confirmed,0.622,0.056,0.056,0.622,0.056,0.056,,,,1945.0,26.0,26.0,3.16,0.19,0.19,0.041,0.017,0.017,,,,0.092996,2005.0,2024-07-30,155.0,,,2454170.0,380.0,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11964 A,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5IV,9.56,,,5248.0,,,,,"GJ 81.1 A, GAL 315 A, LDS 60 A"
35,56,1122,HD 125612 Ab,Confirmed,3.0,,,3.0,,,,,,502.0,14.0,14.0,1.37,,,0.46,0.01,0.01,,,,0.025937,2007.0,2024-08-01,41.5,1.7,1.7,54894.9,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612 A,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897.0,40.0,40.0,,,
36,59,1128,HD 126614 Ab,Confirmed,0.38,0.04,0.04,0.38,0.04,0.04,,,,1244.0,17.0,17.0,2.35,0.02,0.02,0.41,0.1,0.1,,,,0.032459,2010.0,2024-07-28,243.0,19.0,19.0,2453808.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 126614 b,,HD 126614 A,216.7,-5.1777778,8.81,,,,,72.4,5.3,5.3,0.56,0.04,0.04,1.145,0.03,0.03,1.09,0.06,0.06,K0V,7.2,2.0,2.0,5585.0,44.0,44.0,,,HD 126614
